"Band","Genre","Location","Years active"
"Project Resurrect","Heavy Metal","New York, New York","2016-Present"
"Project Rogue","Heavy/Groove Metal/Hard Rock","Texas","N/A"
"Project Steiger","Heavy Metal/Shred","Los Angeles, California","N/A"
"Project Synergy","Progressive Metal","Ayer, Massachusetts","1992-?"
"Project Terror","Heavy Metal","San Antonio, Texas","2009-2017, 2017-? (as Heaven Sent)"
"Project X","Progressive Metal","Denver, Colorado","N/A"
"Project: Failing Flesh","Thrash Metal","Dale City, Virginia","2001-Present"
"Project: Roenwolfe","Power/Thrash Metal","Atlanta, Georgia / Harrisburg, Pennsylvania","2011-2017, 2019-Present"
"Project: Storm","Shred/Progressive Metal","Chicago, Illinois","1998-?"
"Project: Wormhole","Progressive Metal","Los Angeles, California","2010-2012, 2013-Present"
"ProjeKT","Progressive Metal","Baltimore, Maryland","N/A"
"Prolapser","Thrash Metal/Grindcore/Powerviolence","Port Angeles, Washington","N/A"
"Proliferation","Progressive/Technical Death Metal","Atlanta, Georgia","2013-Present"
"Prolific","Thrash/Death/Groove Metal","Inland Empire, California","2005-2006"
"Promethaeon","Symphonic Black/Death Metal","Tucson, Arizona","2013-Present"
"Promethean Horde","Black Metal","Tampa, Florida","1999-Present"
"Promethean Parallax","Death Metal","Milwaukee, Wisconsin","2014-2015"
"Prometheeus","Thrash/Groove/Heavy Metal",,"N/A"
"Prometheon","Death/Thrash Metal","Oswego, New York","N/A"
"Prometheus","Symphonic Death Metal","Ottawa, Ohio","N/A"
"Promise Land","Symphonic Metal","Pittsburgh, Pennsylvania","2001-Present"
"Promise Me Hell","Blackened Death Metal","Tampa, Florida","2008-2010"
"Promisqes","Death Metal","Ogden, Utah","1995-?"
"Promontory","Doom/Post-Metal","Los Angeles, California","N/A"
"Prong","Crossover/Thrash Metal (early/later); Groove/Industrial Metal (mid)","New York, New York","1986-1997, 2002-Present"
"Proofed","Heavy/Thrash/Southern Metal","Dallas, Texas","2002-2009"
"Proper Burial","Death Metal","Marietta, Ohio","N/A"
"Property","Groove Metal","Staunton, Virginia","2003-Present"
"Prophacy","Heavy Metal","Spokane, Washington","1982-?"
"Prophecide","Black Metal","Montana","N/A"
"Prophecies et Sanctus","Black/Death Metal","Indianapolis, Indiana","N/A"
"Prophecy","Death Metal","Shreveport, Louisiana (early); Fort Worth, Texas (later)","1991-Present"
"Prophecy","Heavy Metal","Missoula, Montana","1982-1985"
"Prophecy","Thrash Metal","Napa, California","N/A"
"Prophecy","Hard Rock/Heavy Metal","Mango, Florida","1992-1997"
"Prophecy","Progressive Metal","Phoenix, Arizona","1989-1994"
"Prophecy","Death Metal","Santa Ana, California","N/A"
"Prophecy","Heavy Metal","Ventura, California","?-1987"
"Prophecy of Azrael","Black/Death Metal","Chicago, Illinois","N/A"
"Prophecy of Suffering","Technical Death Metal","Gunnison, Colorado","2004-2018 (as Chaotic End), 2018-Present"
"Prophecy Z14","Technical Death Metal","Melbourne, Florida","2012-Present"
"Prophesied Gnar","Heavy Metal","San Antonio, Texas","2017-Present"
"Prophet","Heavy/Power Metal","Modesto, California","1983-?, ?-? (as Synbad), ?-? (as Dark Moon Circle)"
"Prophet of the Void","Doom Metal","Portland, Oregon","2013-2014"
"Prophet's Eye","Thrash Metal","Dallas, Pennsylvania","2003-2003 (as Blackdeath), 2003-2006 (as Penetralia), 2006-2006"
"Prophetic Disclosure","Death Metal/Grindcore","Kennebunkport, Maine","1997-1999"
"Prophets of Conviction","Progressive Metal","El Sobrante, California","2013-Present"
"Prophets of the Apocalypse","Death/Thrash Metal","Tennessee","N/A"
"Prophets on Vacation","Thrash Metal","Gladstone, Missouri","N/A"
"Prophets Tomb","Progressive Death/Black Metal","Arvada, Colorado","2020-Present"
"Propitiation","Death Metal/Grindcore/Hardcore","Louisville, Kentucky","2015-Present"
"Propitious Vegetation","Slam/Brutal Death Metal","Unionville, Tennessee","2018-Present"
"Proposition None","Thrash Metal","Sacramento, California","1986-1988 (as Metal Strikes), 1988-1989 (as Seeding Violence), 1989-1990 (as Proposition None), 1990-2003 (as Habeas Corpus)"
"Propulsion","Heavy/Thrash/Groove Metal","Columbus, Ohio","N/A"
"Prosanctus Inferi","Black/Death Metal","Columbus, Ohio","2005-Present"
"Proscriptor","Darkwave/Ambient","Dallas, Texas","1995-Present"
"Proscriptor McGovern's Apsû","Black/Thrash Metal","Dallas, Texas","2020-Present"
"Prosody","Thrash Metal/Hardcore","Wilkes-Barre, Pennsylvania","2011-Present"
"Prospekt Mir","Progressive Metal","Monroe, Washington","2018-Present"
"Prosper or Perish","Melodic Death Metal/Deathcore","Philadelphia, Pennsylvania","2006-Present"
"Prosperity Gospel","Black Metal/Shoegaze","Columbia, South Carolina","N/A"
"Prostate Pleasure","Death Metal/Grindcore","Denver, Colorado","2017-Present"
"Prosthesis","Death Metal","Mayfield, Michigan","N/A"
"Prosthetic Orchestra","Industrial Gothic Rock (early); Industrial Doom, Death Metal (later)","Tampa, Florida","2001-?"
"Prostitution","Black Metal","Brooklyn (New York City), New York","N/A"
"Protakyll","Death Metal","Chicago, Illinois","N/A"
"Protas","Heavy/Thrash Metal","San Diego, California","N/A"
"Protection Hexes","Sludge/Stoner Metal","Philadelphia, Pennsylvania","N/A"
"Protest","Thrash Metal","Dallas, Texas","2003-Present"
"Protestant","Crust Punk (early); Black Metal/Crust Punk (later)","Milwaukee, Wisconsin","2004-2018"
"Proteus","Technical Death Metal","Boston, Massachusetts","2005-2008"
"Protolith","Progressive Sludge/Post-Metal","Stafford Springs, Connecticut","2009-Present"
"Prototype","Progressive Metal","Los Angeles, California","1988-1993 (as Psychosis), 1994-Present"
"Prototype","Progressive Metal, Hard Rock/AOR","Northridge, California","N/A"
"Protozoid","Technical Progressive Metal","Dallas, Texas","2014-Present"
"Proud Existence","Heavy Metal","Denver, Colorado","2011-?"
"Proudflesh","Heavy Metal","San Francisco Bay Area, California","N/A"
"Proven","Thrash/Groove Metal","Portland, Oregon","2005-2006 (as From Within), 2006-Present"
"Proven Existence","Atmospheric Black/Doom Metal","Russelville, Alabama","2018-?"
"Prowess Way","Heavy Metal","Raleigh, North Carolina","N/A"
"Prowler","Thrash Metal","New York, New York","1984-?"
"Prowler","Heavy Metal","San Diego, California","1982-1988"
"Prowler","Heavy Metal","Santa Fe, New Mexico (early); Los Angeles, California (later)","1981-1995"
"Prowler","Heavy/Power Metal","Jacksonville, Florida","1984-1991"
"Prowler","Heavy/Thrash Metal","Myrtle Beach, South Carolina","2010-2015"
"Prowler Inc.","Heavy Metal","Portland, Oregon","1981-?, ?-?"
"Prymary","Progressive Metal","Orange County, California","2000-Present"
"Prymordial","Thrash Metal","Niles, Ohio","N/A"
"Pryon","Thrash/Doom Metal","Minnesota","2019-2020 (as Malum), 2020-Present"
"Psalm","Doom Metal","San Fernando, California","N/A"
"Psalms of Silence","Melodic Death Metal","Wheeling, West Virginia","N/A"
"Psalms of Suicide","Depressive Black Metal","New Jersey","N/A"
"Pseudo-Psycho","Black/Thrash Metal/Grindcore","Plattsburgh, New York","2014-?"
"Pseudocidal","Heavy/Groove Metal","Jacksonville, Florida","N/A"
"Pseudopaean","Black/Death/Thrash Metal","York, Pennsylvania","N/A"
"Pseudoptics","Sludge/Doom Metal","Youngstown, Ohio","N/A"
"PseudoSeed","Sludge/Stoner Metal/Rock","Springfield, Missouri","N/A"
"Psionic","Industrial/Gothic Metal","California","2000-?"
"Psionic Madness","Death Metal/Grindcore","South Carolina","2017-2021 (as Morgue Walker), 2021-Present"
"Psionic Storm","Power/Heavy Metal","Redford, Michigan","N/A"
"Psionnosaur","Stoner/Doom Metal","Austin, Texas","2016-Present"
"Psonen","Blackened Thrash Metal","Holden, Maine","2018-Present"
"Psoriasis","Death Metal","Chicago, Illinois","N/A"
"Psukhe","Black Metal",,"N/A"
"Psyanide","Thrash Metal","Upper Darby, Pennsylvania","1988-1993"
"Psyaxis","Progressive Metal","Tampa, Florida","2008-Present"
"Psych","Heavy Metal","Brooklyn (New York City), New York","1984-1990 (as Belial), 1990-1991"
"Psychiatric Regurgitation","Death Metal, Goregrind","Dallas, Texas","2000-2012, 2012-Present"
"Psychic Circle","Raw Black Metal",,"2018-Present"
"Psychic Dose","Psychedelic Stoner/Doom Metal","Fort Myers, Florida","2014-Present"
"Psychic Faith","Heavy/Doom Metal","Muncie/Indianapolis, Indiana","2008-2013"
"Psychic Hit","Heavy Metal/Hard Rock","Oakland, California","2017-Present"
"Psychic Invasion Cell","Black Metal/Ambient",,"2020-Present"
"Psychic Pawn","Death Metal","Phoenix, Arizona","N/A"
"Psychic Wounds","Doom Metal/Psychedelic Rock","Dover, New Hampshire","N/A"
"Psychicmafia","Heavy Metal","Los Angeles/Orange County, California","N/A"
"Psycho Bitch","Death Metal","Tacoma, Washington","1993-?"
"Psycho Face","Progressive Metal","Cleveland, Ohio","N/A"
"Psycho Mantis","Death 'n' Roll","Hemet, California","2015-Present"
"Psycho Prophecy","Thrash Metal","Lewistown, Pennsylvania","N/A"
"Psycho Prophet","Doom Metal with Thrash Metal influences","Boston, Massachusetts","N/A"
"Psycho Scenario","Death/Thrash/Groove Metal","Columbus, Ohio","1999-2001"
"Psycho Scream","Progressive Heavy/Power Metal","Pittsburgh, Pennsylvania","1989-1992 (as Dofka), 1992-1992 (as 1369), 1992-1994 (as Dofka), 1994-1998, 1998-? (as Dofka)"
"Psycho Squad","Heavy Metal","Los Angeles, California","N/A"
"Psycho Stomp","Thrash Metal","Alabama","N/A"
"Psychobabble","Power Metal","Reno, Nevada","N/A"
"Psychobliss","Thrash Metal (early); Gothic/Black Metal (later)","Chicago, Illinois (early); Phoenix, Arizona (later)","2008-2014, 2014-2014 (as Severed Receptors)"
"Psychodelic","Thrash/Death Metal","Minneapolis, Minnesota","N/A"
"Psychodrome","Groove Metal","Portland, Oregon","1993-1995, 2010-?"
"Psychogenesist","Brutal Death Metal","Orange County, New York","2001-2007 (as Bone Crushing Annihilation), 2007-?"
"Psychological Regurgitation","Death Metal/Grindcore","Syracuse, New York","2014-Present"
"Psychological Trauma","Grindcore","Fontana, California","N/A"
"Psychomachy","Death Metal/Deathcore","Boise, Idaho","2013-Present"
"Psychomancer","Death/Thrash Metal","Michigan City, Indiana","1997-2011, 2013-Present"
"Psychomancy","Thrash/Groove Metal","Lower Eastside Newtonsville, Ohio","1990-1997"
"Psychomanthium","Thrash/Groove Metal","Long Island, New York","2007-?, 2017-Present"
"Psychon Vex","Black Metal","New Orleans, Louisiana","2007-Present"
"Psychonaut","Thrash Metal","Colorado Springs, Colorado","?-?, 2013-2013"
"Psychonaut Deathtrip","Death/Thrash Metal","Tacoma, Washington","2011-2013"
"Psychopath","Progressive Death/Thrash Metal","St. Louis, Missouri","1990-?"
"Psychopath","Melodic Death Metal","Rochester, New York","2010-2013"
"Psychopathic Daze","Groove Metal/Metalcore","Chicago, Illinois","2010-2017"
"Psychoprism","Power Metal","New Jersey/New York","2012-Present"
"Psychorrhexis","Death Metal","Menasha, Wisconsin","N/A"
"Psychosis","Thrash Metal","Los Angeles, California","1988-1993, 1994-Present (as Prototype), 2006-Present"
"Psychosis","Death Metal","Keyport, New Jersey","1988-1993, 1993-? (as Mass Psychosis), ?-? (as Mass Psychosis)"
"Psychosis","Groove Metal (early); Groove/Nu-Metal (later)","Nashua, New Hampshire","1990-?"
"Psychosis","Thrash Metal","Auburn Hills, Michigan","N/A"
"Psychosis","Death Metal","Seattle, Washington","?-1992, 1992-? (as Blood Ritual)"
"Psychosomatic","Thrash Metal","Sacramento, California","1988-Present"
"Psychosomatic","Death Metal/Grindcore","Sioux Falls, South Dakota","1999-2004, ?-?"
"Psychostatus","Progressive Metal with Melodic Death Metal influences","Middletown, Delaware","N/A"
"Psychotic","Speed/Thrash Metal","Hackensack, New Jersey","N/A"
"Psychotic","Death/Thrash Metal","Thiells, New York","?-1990 (as Disembodied), 1990-1991, 1991-? (as Disembodied)"
"Psychotic Defilement","Brutal Death Metal","Richmond, Virginia","2014-2018"
"Psychotic Existence","Heavy Metal","Bay City, Michigan","N/A"
"Psychotic Homicidal Dismemberment","Brutal Death Metal/Grindcore","New Alexandria, Pennsylvania","2006-Present"
"Psychotic Therapy","Power/Thrash Metal","Munith, Michigan","?-1990 (as Grievance), 1990-?"
"Psychotic Wallpaper","Thrash Metal","Fullerton, California","N/A"
"Psychotic Waltz","Progressive Metal","San Diego, California","1985-1987 (as Aslan), 1987-1997 (as Psychotic Waltz), 2010-Present (as Psychotic Waltz)"
"Psychotogen","Technical Death Metal","Baltimore, Maryland","N/A"
"Psychotomimetic","Black/Death Metal","California","N/A"
"Psychotropic","Black/Death/Sludge Metal","Portland, Oregon","N/A"
"Psychromatic","Technical Progressive Metal","Independence, Virginia","2009-Present"
"Psychrophilia","Depressive Black Metal","Pampa, Texas","N/A"
"Psyclosarin","Groove/Death Metal","Salem, Ohio","2011-Present"
"Psyco Drama","Progressive/Power Metal","Colorado Springs, Colorado","?-1990 (as Foolish Pride), 1990-? (as Psychodrama), ?-1995, 1995-?, 2015-Present"
"Psycopath","Thrash Metal","Vermillion, Ohio","1988-1989 (as Aftermath), 1989-1990"
"Psycophancy","Black/Death Metal","Alexandria, Virginia","N/A"
"Psydonia","Sludge/Post-Metal","New Orleans, Louisiana","2015-Present"
"Psykotribe","Death Metal","Tampa, Florida","2013-Present"
"Psymortem","Death Metal/Deathcore","San Antonio, Texas","2010-2013"
"Psyopsis","Grindcore","Fort Wayne, Indiana","N/A"
"Psypheria","Technical Death Metal","Davis, California","1992-1997 (as Enthroned), 1997-2004, 2011-Present"
"Psyrup","Psychedelic Doom Metal","Eugene, Oregon","2011-Present"
"Psytoxia","Brutal Death Metal/Grindcore","Feura Bush, New York","2004-2018"
"Ptahil","Doom/Black Metal","Fort Wayne, Indiana","2009-Present"
"Ptarmigan","Brutal Death Metal/Grindcore","Cranston, Rhode Island","1999-Present"
"Pterodactyl King","Progressive/Melodic Death Metal/Metalcore","Chicago, Illinois","2012-Present"
"Public Assassin","Death/Thrash Metal","Springfield, Missouri","1989-?, 2014-2016"
"Public Outcry","Heavy/Speed Metal","Cleveland, Ohio","1985-1987, 1996-2001, ?-2011"
"Púca","Black Metal","Illinois","2017-?"
"Pugilist","Death Metal",,"N/A"
"Puke","Brutal Death Metal","Chattanooga, Tennessee","2012-2014, 2015-2016"
"Puke Mutant","Death Metal","Bethlehem, Pennsylvania","2020-Present"
"Puke Weasel","Thrash Metal","Manhattan, Kansas","1991-?, ?-? (as Spine)"
"Pukus","Death Metal","Sioux Falls, South Dakota","1989-1990, 1990-1999 (as Suffer), 2013-? (as Suffer)"
"Pulchra Morte","Doom/Death Metal",,"2017-Present"
"Pull","Heavy Metal","Cortland, New York","1997-?"
"Pull the Strings","Raw Black Metal","Greenville, South Carolina","N/A"
"Pullchain","Progressive Death Metal","Kansas City / Cedar Rapids, Iowa","1999-?"
"Pulling Teeth","Thrash Metal/Crossover","Baltimore, Maryland","2005-2012"
"Pullout Method","Groove Metal/Metalcore","Middletown, Connecticut","2004-?"
"Pulmonary Embolism","Death Metal","Anaheim, California","2012-Present"
"Pulpit","Sludge Metal/Hardcore","Atlanta, Georgia","N/A"
"Pulsa diNura","Industrial Black Metal","Bowling Green, Kentucky","2020-Present"
"Pulsar Colony","Psychedelic/Experimental Black Metal","Fayetteville, Arkansas","2007-2017, 2018-Present"
"Pulsating Anus","Grindcore","Athens, Ohio","2008-2009, 2009-? (as Fastowl)"
"Pulsechoke","Metalcore","Oak Lawn, Illinois","N/A"
"Pulseless","Groove/Death Metal","Sioux Falls, South Dakota","N/A"
"Pulsepherion","Brutal Death Metal","Goldsboro, South Carolina","N/A"
"Pulverazor","Heavy Metal","Los Angeles, California","N/A"
"Pummel","Thrash Metal/Crossover/Hardcore","Boston, Massachusetts","N/A"
"Pummeled About the Face","Heavy Metal","Wyoming, Michigan","1995-2012"
"Punchin' Judy","Thrash Metal/Crossover","Bristol, Tennessee","1988-?"
"Puncture","Industrial Groove/Thrash Metal","Arlington, Texas","1992-1999, 2008-2008"
"Pungent Shroud","Black/Death Metal","Dayton, Ohio","N/A"
"Punished Existence","Sludge Metal/Metalcore","Lorain, Ohio","1996-Present"
"Punisher","Technical Thrash Metal","Kentfield, California","1987-?"
"Punisher","Thrash Metal","Millbury, Ohio","1990-?"
"Punisher","Power/Thrash Metal","Wilmington, North Carolina","N/A"
"Punishment Due","Thrash Metal","Houston, Texas","N/A"
"Puppet","Groove Metal","Cleveland, Ohio","?-1998 (as Limb from Limb), 1998-?"
"Puppet Casket","Death Metal","Chicago, Illinois","2019-Present"
"Puppy Parts","Brutal Death Metal","Patchogue (Long Island), New York","N/A"
"Pure Aggression","Thrash Metal (early); Thrash/Groove Metal (later)","Rockford, Illinois","?-?, 2012-2012"
"Pure Chaos","Death Metal","Middletown, Connecticut","N/A"
"Pure Death","Thrash Metal","Georgia","N/A"
"Pure Defiance","Progressive/Power Metal","Union City, California","1995-?"
"Pure Disgust for Humanity","Raw Black Metal","New York","1998-2000"
"Pure Dread","Experimental Black Metal","Salt Lake City, Utah","N/A"
"Pure Grain","Stoner/Groove Metal","Charleston, West Virginia","1998-?"
"Pure Hatred","Thrash Metal/Metalcore","Seattle, Washington","N/A"
"Pure Sweet Hell","Progressive Groove Metal","Seattle, Washington","1997-Present"
"Pure Vengeance","Power/Thrash Metal","Morristown/White Pine, Tennessee","2005-?"
"Purest Wrath","Black/Death Metal","Newport News, Virginia","N/A"
"Purgamentorum","Black Metal","Mississippi","2019-Present"
"Purgation","Doom Metal","Kenner, Louisiana","?-? (as Purge), ?-?"
"Purgatoria","Death Metal/Grindcore","Canoga Park/Pacoima, California","1995-?"
"Purgatorial Blue Flame","Avant-garde Black Metal","Texas","2016-2018 (as Allöcer), 2018-2019"
"Purgatorium","Melodic Death Metal","Mitchell, Indiana","2005-?"
"Purgatorium","Blackened Death Metal","Kansas City, Kansas","2019-Present"
"Purgatory","Thrash/Power/Speed Metal","Cleveland, Ohio","1984-1990, 1991-1991, 2003-2004, 2018-?"
"Purgatory","Heavy Metal","Tampa, Florida","1984-1985 (as The Rose), 1985-1988, 1988-Present (as Iced Earth), 2018-Present"
"Purgatory","Death Metal","Moosup, Connecticut","2002-?"
"Purgatory","Thrash/Death Metal","Memphis, Tennessee","1991-?"
"Purgatory","Thrash Metal","Texas","1990-?"
"Purgatory's Gate","Heavy Metal (early); Progressive Black/Death Metal (later)","Los Angeles, California","1999-?"
"Purge","Heavy/Speed Metal","Kenner, Louisiana","?-?, ?-? (as Purgation)"
"Purge","Groove/Thrash Metal","Carl Junction, Missouri","1993-?"
"Purge","Technical Death/Thrash Metal","Chicago, Illinois","2006-2010, 2012-Present"
"Purge at Dawn","Technical Death Metal/Grindcore","Clearlake, California","2007-?"
"Purging Sin","Heavy Metal","Chichester, New Hampshire","2011-Present"
"Purification","Doom Metal","Portland, Oregon","2018-Present"
"Purification by Fire","Death/Thrash Metal","Grass Valley, California","2008-Present"
"Purified by Fire","Death/Thrash Metal","Florence, South Carolina","2005-2007"
"Purist","Sludge/Post-Metal","Memphis, Tennessee","2011-?"
"Puritanical Desecration","Black Metal (early); Goregrind (later)","Bryan, Texas","2004-?"
"Purity","Metalcore","Anaheim/Riverside, California","N/A"
"Purple Light","Noise, Industrial, Avant-garde/Post-Black Metal","Grand Rapids, Michigan","2014-Present"
"Purple Pam & the Flesh Eaters","Hard Rock/Stoner/Heavy Metal","New York, New York","N/A"
"Purple Skies","Epic Heavy Metal","Greensboro, North Carolina","2016-Present"
"Purpose in Reason","Death/Thrash Metal/Metalcore","Woodbridge, New Jersey","2003-2007, 2007-? (as Simensis)"
"Pursuit","Progressive Metal/Hard Rock","Iowa","N/A"
"Pursuit","Thrash Metal","Fargo, North Dakota","?-2020 (as Pursuit of Cash), 2020-Present"
"Pursuit of Power","Melodic Power Metal","La Porte, Indiana","2009-Present"
"Purulent Conception","Brutal Death Metal","Bellingham, Washington","N/A"
"Purulent Infection","Brutal Death Metal/Grindcore","Lafayette, Indiana","2006-?"
"Purulent Necrosis","Brutal Death Metal","Kings Mountain, North Carolina","?-2017 (as Cranial Bleeding), 2017-Present"
"Pus","Death Metal",,"N/A"
"Pus","Death Metal/Crossover/Grindcore","Bay Area, California","N/A"
"Pus","Thrash Metal","Houston, Texas","1988-?"
"Pus","Thrash Metal","Meriden, Connecticut","N/A"
"Pus","Death Metal","Parma Heights, Ohio","1993-1994"
"Pus Drinkers","Goregrind","Ohio","N/A"
"Push Comes II Shove","Heavy/Power Metal","Los Angeles, California","N/A"
"Pushmen","Sludge Metal/Hardcore","Austin, Texas","2011-Present"
"Pusrot","Black/Death Metal/Grindcore","Portland, Oregon","N/A"
"Pussy Destruction","Brutal Death Metal","Wichita, Kansas","N/A"
"Pustulated","Brutal Death Metal","Nashville, Tennessee","2001-?"
"Pustulosis","Goregrind","Reno, Nevada","N/A"
"Pustulous","Grindcore","Seattle, Washington","2016-Present"
"Put Her in the Trunk","Death Metal/Metalcore","Milwaukee, Wisconsin","2006-2011"
"Put Up Your Dukes","Metalcore","Los Angeles, California","N/A"
"Putrafukation","Brutal Death Metal","Lawndale, California","N/A"
"Putrascension","Melodic Black/Death Metal","New Jersey","N/A"
"Putrefaction","Death Metal/Grindcore","Chicago, Illinois","1996-?"
"Putrefaction","Death Metal","Potomac, Maryland","2004-?"
"Putrefaction","Industrial Black/Death Metal","Rockford, Ohio","N/A"
"Putrefaction of Splattered Entrails","Brutal Death Metal/Goregrind",,"2020-Present"
"Putrefactor","Death Metal","Reading, Pennsylvania","N/A"
"Putrefaxion Adipocere","Death/Thrash Metal","Chicago, Illinois","N/A"
"Putrefest","Death Metal/Grindcore","Buffalo, New York","N/A"
"Putrefied Flesh","Death Metal/Metalcore","Mountain Top, Pennsylvania","2003-2005 (as Nihilistic), 2005-Present"
"Putrefukation","Brutal Death Metal/Goregrind","Long Beach, California","1992-Present"
"Putrefy","Black/Death Metal","Cleveland, Ohio","N/A"
"Putrefying Cadaverment","Brutal Death Metal","Kings Mountain, North Carolina","2007-2010, 2017-2021"
"Putresanct","Atmospheric Black/Sludge Metal","Texas / Massachusetts","N/A"
"Putrescence","Death Metal","Los Angeles, California","2019-Present"
"Putrescent Secretancy","Progressive Death Metal/Djent","Orlando, Florida","2007-2011"
"Putrescine","Death Metal","San Diego, California","2019-Present"
"Putressence","Grindcore","Pasadena, California","2018-2021"
"Putrid Abscess","Death Metal","Marlton, New Jersey","N/A"
"Putrid Christ","Black Metal","Saint Paul, Minnesota (early); Chesapeake, Virginia (later)","2012-Present"
"Putrid Decay","Death/Thrash Metal","Indian Orchard/Springfield, Massachusetts","1991-?, 2011-2011"
"Putrid Glory","Death Metal","Augusta, Georgia","2018-Present"
"Putrid Goat","Death/Doom Metal","Warwick, Rhode Island","2009-?"
"Putrid Invökation","Black/Death/Doom Metal","Sacramento, California","2019-Present"
"Putrid Lair","Black/Death Metal","Atlanta, Georgia","N/A"
"Putrid Liquid","Goregrind/Brutal Death Metal","Dayton, Ohio","N/A"
"Putrid Mass","Death Metal","Milwaukee, Wisconsin","1992-?"
"Putrid Pile","Brutal Death Metal","Racine, Wisconsin","2000-Present"
"Putrid Resurrection","Death Metal/Grindcore","Detroit, Michigan","1988-1989 (as Voilent Intensions), 1989-1991, 2008-Present"
"Putrid Servant","Black Metal","Baltimore, Maryland","2009-Present"
"Putrid Temple","Black/Death Metal","Seattle, Washington","2017-Present"
"Putrid Tomb","Death Metal/Grindcore","Atlanta, Georgia","N/A"
"Putrid Tomb","Death Metal","San Diego, California","2019-Present"
"Putrid Womb","Slam/Brutal Death Metal","Livingston, Texas","2013-2015 (as Nokturnal Nekromancy), 2015-Present"
"Putrifact","Death Metal/Grindcore","Paterson, New Jersey","1989-?"
"Putrified Dab Rig","Brutal Death Metal/Goregrind","California / Albuquerque, New Mexico","2018-Present"
"Putrilage","Brutal Death Metal","Seguin/San Antonio, Texas","1999-2003, 2007-2008"
"Putrisect","Death Metal","Baltimore, Maryland","2013-Present"
"Putsch","Black Metal",,"N/A"
"Puzzle Head","Death Metal","Alexandria, Virginia","N/A"
"Puzzle of Flesh","Heavy Metal","Indianapolis, Indiana","N/A"
"Pvrenchymv","Progressive/Post-Metal","Indianapolis, Indiana","2005-Present"
"PxNxIxBxPx","Brutal Death Metal/Goregrind","San Fernando Valley, California","2011-2015, 2019-Present"
"Pyad","Heavy/Thrash Metal","Dracut, Massachusetts","2004-?"
"Pyn Siren","Heavy Metal/Hard Rock","Ruckersville, Virginia","1996-?"
"Pynacle","Groove Metal/Hard Rock","Oak Hill, West Virginia","2015-2018 (as Militia), 2018-Present"
"Pyosisified","Goregrind","Houston, Texas","2020-Present"
"Pyracantha","Deathcore (early); Raw Black Metal/Noise (later)","Grand Forks, North Dakota","2012-Present"
"Pyramada","Heavy Metal/Rock","West New York, New Jersey","2007-Present"
"Pyramid","Progressive Metal","New York, New York","2017-Present"
"Pyramidium","Gothic Metal","Buffalo, New York","2008-Present"
"Pyramids","Experimental/Ambient/Post-Rock (early); Post-Metal (later)","Denton, Texas","2008-Present"
"Pyre","Black Metal","El Paso, Texas","1997-2009, 2018-Present"
"Pyre of Black Roses","Raw Black Metal",,"N/A"
"Pyreship","Doom/Post-Metal","Houston, Texas","N/A"
"Pyretic","Death Metal/Grindcore","El Paso, Texas","2001-2005"
"Pyreworks","Thrash/Melodic Death Metal","Minneapolis/Saint Paul, Minnesota","2014-2015 (as Leaky Blood Pipe), 2015-2019, 2020-Present"
"Pyrexia","Brutal Death Metal, Death/Groove Metal","New York, New York","1990-1999, 2001-Present"
"Pyrithe","Experimental Sludge/Post-Metal/Noise Rock","Pittsburgh, Pennsylvania","2017-Present"
"Pyrithion","Technical/Melodic Death Metal","Agoura Hills, California","2012-2013"
"Pyroklasm","Thrash Metal","Huntington Park, California","2008-?"
"Pyrolatrous","Blackened Melodic Death Metal","Brooklyn (New York City), New York","2016-Present"
"Pyromancer","Black/Death Metal","Kentucky","N/A"
"Pyromancy","Black/Thrash Metal","Pittsburgh, Pennsylvania","2020-Present"
"Pyrrhic","Progressive Death Metal","Detroit, Michigan","2015-Present"
"Pyrrhic Salvation","Technical Death Metal","Richmond, Virginia","N/A"
"Pyrrhon","Technical Death Metal","Brooklyn (New York City), New York","2008-Present"
"Pyrrhonist","Groove/Thrash Metal","Indianapolis, Indiana","N/A"
"Pythagoras","Death Metal","Long Beach, California","2016-Present"
"Pythian","Sludge/Doom/Post-Metal","Toledo, Ohio","N/A"
"Python","Thrash Metal","Rock Hill, New York","2001-?"
"Python","Experimental/Psychedelic Doom Metal","Brooklyn (New York City), New York","N/A"
"Pythonissam","Funeral Doom Metal","North Dakota / Wisconsin","2021-Present"
"Pytt","Death Metal","Floral Park (Long Island), New York","N/A"
"Q5","Heavy Metal/Hard Rock","Seattle, Washington","1983-1986, 2009-2009, 2014-2019, 2019-Present"
"Qaalm","Sludge/Doom Metal","Los Angeles, California","2017-Present"
"Qayinleamas","Black Metal","Lenoir, North Carolina","N/A"
"Qlippoth","Black Metal",,"2017-Present"
"Qodesh","Heavy Metal","Evansville, Indiana","1990-?"
"Qqgcguvhjn","Death/Black Metal, Noise","Gulfport, Mississippi","2020-Present"
"Quantum Twilight","Power Metal","Washington, D.C.","N/A"
"Quantumnaut","Progressive Post-Metal","Durango, Colorado","N/A"
"Quarentine","Death/Thrash Metal",,"N/A"
"Quartered","Grindcore/Death Metal","Philadelphia, Pennsylvania","2007-?"
"Quasar","Black Metal","Long Beach, California","2009-Present"
"Quasimodo","Heavy Metal","Robstown, Texas","1981-1988"
"Quayde LaHüe","Heavy Metal/Hard Rock","Olympia, Washington","2016-2020"
